start,end,intervals,duration_hours,mean_load_mw,max_load_mw,mean_renewable_coverage_pct,mean_renewable_gap_mw
2023-12-12 06:45:00+00:00,2023-12-12 16:45:00+00:00,41,10.25,66933.3,68296.6,17.145580036099595,55446.11951219512
2023-12-13 15:30:00+00:00,2023-12-13 15:30:00+00:00,1,0.25,69009.7,69009.7,26.45903401985518,50750.399999999994
2023-12-14 06:45:00+00:00,2023-12-14 14:00:00+00:00,30,7.5,67114.03666666667,68206.4,11.357312297384757,59487.78333333335
2023-12-14 15:15:00+00:00,2023-12-14 18:00:00+00:00,12,3.0,66520.89166666668,67246.0,10.6711962462197,59423.56666666667
2023-12-15 07:00:00+00:00,2023-12-15 08:45:00+00:00,8,2.0,66617.11249999999,67203.1,23.627753987569715,50871.45
2024-01-04 16:00:00+00:00,2024-01-04 16:45:00+00:00,4,1.0,65704.575,65872.4,23.48264463494143,50277.125
2024-01-09 06:00:00+00:00,2024-01-09 08:30:00+00:00,11,2.75,69903.16363636364,71084.4,23.013802647557295,53809.5
2024-01-09 14:00:00+00:00,2024-01-09 19:30:00+00:00,23,5.75,69063.72173913044,71720.9,22.148786266947422,53766.013043478255
2024-01-10 06:00:00+00:00,2024-01-10 09:30:00+00:00,15,3.75,70289.93333333333,71781.9,20.005344451564635,56205.76
2024-01-10 13:00:00+00:00,2024-01-10 19:30:00+00:00,27,6.75,68830.14444444444,71459.4,14.662657603089881,58751.94814814815
2024-01-11 05:45:00+00:00,2024-01-11 09:00:00+00:00,14,3.5,70852.50714285715,72400.3,19.000134701350305,57355.54285714286
2024-01-11 13:00:00+00:00,2024-01-11 19:30:00+00:00,27,6.75,69354.31481481482,71759.6,14.671640539838588,59191.0851851852
2024-01-12 06:00:00+00:00,2024-01-12 19:00:00+00:00,53,13.25,70339.40000000001,72802.6,21.233288948112456,55401.4075471698
2024-01-16 06:45:00+00:00,2024-01-16 09:45:00+00:00,13,3.25,70895.0923076923,71602.2,25.106606869284242,53096.01538461539
2024-01-16 14:15:00+00:00,2024-01-16 16:45:00+00:00,11,2.75,69922.61818181818,72332.5,24.85083791745045,52539.46363636363
2024-01-17 09:45:00+00:00,2024-01-17 19:15:00+00:00,39,9.75,71984.97692307693,75129.7,16.44292342265035,60083.299999999996
2024-01-18 06:00:00+00:00,2024-01-18 17:30:00+00:00,47,11.75,71260.04468085106,73385.4,18.807679413240887,57832.45744680851
2024-01-25 16:00:00+00:00,2024-01-25 17:00:00+00:00,5,1.25,68526.04,69152.3,26.12928036248353,50621.81999999999
2024-01-29 16:30:00+00:00,2024-01-29 18:00:00+00:00,7,1.75,66110.98571428572,66410.6,22.76510947521646,51060.485714285714
2024-02-07 15:00:00+00:00,2024-02-07 19:00:00+00:00,17,4.25,67482.72352941179,69345.7,20.816999790759134,53455.470588235294
2024-02-08 06:15:00+00:00,2024-02-08 14:00:00+00:00,32,8.0,67973.66875,69443.0,20.07526993861051,54317.184375000004
2024-02-08 16:00:00+00:00,2024-02-08 17:00:00+00:00,5,1.25,67343.13999999998,68175.3,24.753099605096168,50667.759999999995
2024-02-27 07:00:00+00:00,2024-02-27 11:00:00+00:00,17,4.25,67436.38823529413,68594.2,22.06852164399706,52537.48823529412
2024-02-27 17:00:00+00:00,2024-02-27 18:15:00+00:00,6,1.5,66607.38333333335,67045.7,8.881519769943859,60691.23333333334
